timestamp,frame_id,stage,latency_ms,cpu_percent,memory_rss_bytes,event_count
1784450690.942979,0,detect,18.048526763916016,0,0,0
1784450691.1270032,0,track,9.516366958618164,0,0,0
1784450691.1310296,0,detect,17.164432525634766,0,0,0
1784450691.2624087,0,track,8.954822540283203,0,0,0
1784450691.3084621,0,pose,30.140432357788086,0,0,0
1784450691.3095038,0,e2e,739.7982359998423,0,0,0
1784450691.3228734,-1,process:analysis_actor_1,0,171.1,118865920,0
1784450691.4010801,1,detect,18.201509475708008,0,0,0
1784450691.409656,0,pose,30.92177391052246,0,0,0
1784450691.411531,0,e2e,530.9534059997532,0,0,0
1784450691.427509,-1,process:analysis_actor_0,0,0.0,114020352,0
1784450691.4373162,1,track,9.031391143798828,0,0,0
1784450691.5261483,1,detect,19.56234359741211,0,0,0
1784450691.5664172,1,pose,29.808866500854492,0,0,0
1784450691.56702,1,e2e,890.5853440010105,0,0,0
1784450691.5860026,1,track,8.902926445007324,0,0,0
1784450691.6563659,2,detect,16.789474487304688,0,0,0
1784450691.695512,1,pose,32.158470153808594,0,0,0
1784450691.6979816,1,e2e,734.5453890011413,0,0,0
1784450691.7011864,0,detect,18.114599227905273,0,0,0
1784450691.712493,2,track,8.710795402526855,0,0,0
1784450691.745168,0,track,9.286617279052734,0,0,0
1784450691.7697954,2,detect,18.874942779541016,0,0,0
1784450691.8049252,2,pose,27.809406280517578,0,0,0
1784450691.8073957,2,e2e,1049.649598000542,0,0,0
1784450691.8163218,0,pose,30.702247619628906,0,0,0
1784450691.8173656,0,e2e,254.81026899979042,0,0,0
1784450691.830058,-1,process:analysis_actor_2,0,0.0,116727808,0
1784450691.8316326,2,track,9.97579288482666,0,0,0
1784450691.8543503,0,detect,19.70000648498535,0,0,0
1784450691.8685482,3,detect,16.8262882232666,0,0,0
1784450691.8937457,1,detect,17.706621170043945,0,0,0
1784450691.8966901,2,pose,27.1883602142334,0,0,0
1784450691.8981638,2,e2e,862.8897050002706,0,0,0
1784450691.9194639,3,track,8.656838417053223,0,0,0
1784450691.926247,0,track,9.622486114501953,0,0,0
1784450691.9365008,1,track,9.294599533081055,0,0,0
1784450691.9613554,3,detect,16.51036834716797,0,0,0
1784450691.9905047,3,pose,27.24698829650879,0,0,0
1784450691.9911506,3,e2e,1141.9662080006674,0,0,0
1784450692.0027056,3,track,9.101012229919434,0,0,0
1784450692.00744,0,pose,30.359495162963867,0,0,0
1784450692.0094748,0,e2e,262.5519779994647,0,0,0
1784450692.0218303,-1,process:analysis_actor_3,0,195.1,116760576,0
1784450692.0299258,1,pose,31.728906631469727,0,0,0
1784450692.0321462,1,e2e,393.80282599995553,0,0,0
1784450692.0435152,6,detect,18.48908042907715,0,0,0
1784450692.0596962,3,pose,31.237709045410156,0,0,0
1784450692.0625067,3,e2e,930.3092150003067,0,0,0
1784450692.0719407,1,detect,20.52365493774414,0,0,0
1784450692.0813355,6,track,9.179357528686523,0,0,0
1784450692.0980952,2,detect,18.046049118041992,0,0,0
1784450692.1004777,1,track,8.771124839782715,0,0,0
1784450692.1148202,4,detect,16.863422393798828,0,0,0
1784450692.1341538,2,track,9.770029067993164,0,0,0
1784450692.137673,6,pose,29.73649787902832,0,0,0
1784450692.140619,6,e2e,1078.1847050002398,0,0,0
1784450692.1618958,4,track,9.402297973632812,0,0,0
1784450692.1848314,1,pose,29.474964141845703,0,0,0
1784450692.185985,1,e2e,361.7789950003498,0,0,0
1784450692.199845,8,detect,18.119388580322266,0,0,0
1784450692.2048936,2,pose,30.130216598510742,0,0,0
1784450692.2069373,2,e2e,504.7805550002522,0,0,0
1784450692.2328467,2,detect,16.136240005493164,0,0,0
1784450692.2402167,8,track,9.990692138671875,0,0,0
1784450692.2457745,4,pose,28.078683853149414,0,0,0
1784450692.247397,4,e2e,1018.5045529997296,0,0,0
1784450692.2656813,2,track,9.55014419555664,0,0,0
1784450692.2710276,3,detect,16.755218505859375,0,0,0
1784450692.2941303,5,detect,16.375539779663086,0,0,0
1784450692.3141537,8,pose,29.654878616333008,0,0,0
1784450692.3148632,8,e2e,1113.220444000035,0,0,0
1784450692.3224535,3,track,10.153800010681152,0,0,0
1784450692.3326883,5,track,9.864580154418945,0,0,0
1784450692.342049,2,pose,28.042770385742188,0,0,0
1784450692.3435454,2,e2e,448.12040899887506,0,0,0
1784450692.3635037,10,detect,18.38241958618164,0,0,0
1784450692.4043522,5,pose,31.017921447753906,0,0,0
1784450692.4057739,5,e2e,1119.5855390014913,0,0,0
1784450692.451147,3,pose,34.35564422607422,0,0,0
1784450692.4521892,3,e2e,627.020101999733,0,0,0
1784450692.4703865,10,track,8.45793628692627,0,0,0
1784450692.475066,3,detect,17.304851531982422,0,0,0
1784450692.5107794,3,track,8.604694366455078,0,0,0
1784450692.5307887,10,pose,30.893953323364258,0,0,0
1784450692.5340948,10,e2e,1218.1283390000317,0,0,0
1784450692.5547874,4,detect,16.920320510864258,0,0,0
1784450692.5597985,8,detect,17.2098445892334,0,0,0
1784450692.586541,3,pose,32.93476104736328,0,0,0
1784450692.587438,3,e2e,628.2294240008923,0,0,0
1784450692.596726,4,track,9.067182540893555,0,0,0
1784450692.6067111,13,detect,16.370512008666992,0,0,0
1784450692.618998,8,track,8.830463409423828,0,0,0
1784450692.6346178,13,track,9.95052719116211,0,0,0
1784450692.6484714,4,detect,18.72064971923828,0,0,0
1784450692.6584191,4,pose,35.05517578125,0,0,0
1784450692.659526,4,e2e,808.7121059998026,0,0,0
1784450692.6797621,8,pose,30.377315521240234,0,0,0
1784450692.681741,8,e2e,1208.8228430002346,0,0,0
1784450692.6927102,4,track,9.057540893554688,0,0,0
1784450692.7072875,5,detect,16.261579513549805,0,0,0
1784450692.711706,13,pose,30.557401657104492,0,0,0
1784450692.7133582,13,e2e,1187.9707719999715,0,0,0
1784450692.7407916,11,detect,17.5049991607666,0,0,0
1784450692.7574122,4,pose,30.918283462524414,0,0,0
1784450692.7620957,5,track,9.464385032653809,0,0,0
1784450692.7629852,4,e2e,728.5989319989312,0,0,0
1784450692.7683723,16,detect,16.315940856933594,0,0,0
1784450692.7808316,11,track,8.71781063079834,0,0,0
1784450692.8005812,5,pose,29.109336853027344,0,0,0
1784450692.801501,5,e2e,884.6635480003897,0,0,0
1784450692.8099418,16,track,10.206793785095215,0,0,0
1784450692.8229756,5,detect,16.47425651550293,0,0,0
1784450692.8632371,11,pose,31.094280242919922,0,0,0
1784450692.865024,11,e2e,1178.5749450009462,0,0,0
1784450692.8879552,6,detect,17.200414657592773,0,0,0
1784450692.890505,5,track,8.813063621520996,0,0,0
1784450692.8971334,16,pose,27.414718627929688,0,0,0
1784450692.89908,16,e2e,1188.9692950007884,0,0,0
1784450692.9169087,14,detect,16.322080612182617,0,0,0
1784450692.929681,6,track,12.12519645690918,0,0,0
1784450692.9514377,14,track,9.115316390991211,0,0,0
1784450692.9529016,5,pose,29.613685607910156,0,0,0
1784450692.9597042,5,e2e,862.6218720000907,0,0,0
1784450692.9630282,19,detect,17.55400848388672,0,0,0
1784450692.9936166,6,pose,30.702861785888672,0,0,0
1784450692.994445,6,e2e,1015.5294929991214,0,0,0
1784450693.0024827,14,pose,26.960145950317383,0,0,0
1784450693.0031147,14,e2e,1138.6125669996545,0,0,0
1784450693.0099247,19,track,9.16474723815918,0,0,0
1784450693.0111063,6,detect,16.125276565551758,0,0,0
1784450693.0353823,7,detect,17.638891220092773,0,0,0
1784450693.0442343,6,track,9.439083099365234,0,0,0
1784450693.0508344,17,detect,16.520618438720703,0,0,0
1784450693.059424,19,pose,29.355865478515625,0,0,0
1784450693.0618992,19,e2e,1161.0715850001725,0,0,0
1784450693.0633883,7,track,10.78001880645752,0,0,0
1784450693.0814688,17,track,8.812847137451172,0,0,0
1784450693.0928745,6,pose,27.489105224609375,0,0,0
1784450693.0952551,6,e2e,940.8496960004413,0,0,0
1784450693.1111326,22,detect,18.205236434936523,0,0,0
1784450693.1144984,7,pose,31.64005470275879,0,0,0
1784450693.1161714,7,e2e,1071.9326399994316,0,0,0
1784450693.134541,17,pose,28.97347640991211,0,0,0
1784450693.136594,17,e2e,1086.6466140014381,0,0,0
1784450693.1398985,22,track,9.976036071777344,0,0,0
1784450693.145424,7,detect,18.145938873291016,0,0,0
1784450693.1619203,9,detect,17.554353713989258,0,0,0
1784450693.1740568,7,track,9.773090362548828,0,0,0
1784450693.1778653,19,detect,17.353107452392578,0,0,0
1784450693.1968684,9,track,8.612574577331543,0,0,0
1784450693.2008173,22,pose,29.97319793701172,0,0,0
1784450693.2014863,22,e2e,1101.7851890010206,0,0,0
1784450693.2172537,19,track,9.712723731994629,0,0,0
1784450693.2273617,7,pose,29.295339584350586,0,0,0
1784450693.233764,7,e2e,1017.2805769998376,0,0,0
1784450693.256241,24,detect,17.99643325805664,0,0,0
1784450693.2593825,9,pose,27.475894927978516,0,0,0
1784450693.2616117,9,e2e,1078.9010349999444,0,0,0
1784450693.279785,19,pose,27.792932510375977,0,0,0
1784450693.2815788,19,e2e,1093.482047001089,0,0,0
1784450693.2892666,8,detect,22.98323631286621,0,0,0
1784450693.2983184,24,track,9.27812671661377,0,0,0
1784450693.3149247,10,detect,18.10350227355957,0,0,0
1784450693.3260262,20,detect,17.661075592041016,0,0,0
1784450693.327922,8,track,8.872628211975098,0,0,0
1784450693.3599684,10,track,10.173360824584961,0,0,0
1784450693.3635182,24,pose,30.889848709106445,0,0,0
1784450693.3714373,20,track,10.255411148071289,0,0,0
1784450693.3879027,8,pose,30.826765060424805,0,0,0
1784450693.3887146,8,e2e,1116.5026139988186,0,0,0
1784450693.4077728,10,pose,30.744680404663086,0,0,0
1784450693.4091797,10,e2e,1168.6011879992293,0,0,0
1784450693.4313412,20,pose,30.852203369140625,0,0,0
1784450693.4406226,9,detect,16.554969787597656,0,0,0
1784450693.4530387,11,detect,17.916833877563477,0,0,0
1784450693.4642072,9,track,9.666199684143066,0,0,0
1784450693.4796906,11,track,8.682602882385254,0,0,0
1784450693.517654,9,pose,29.424209594726562,0,0,0
1784450693.5187345,9,e2e,1182.9316650000692,0,0,0
1784450693.5532608,11,pose,29.202390670776367,0,0,0
1784450693.5548604,11,e2e,1243.2264150011179,0,0,0
1784450693.5823567,10,detect,16.822633743286133,0,0,0
1784450693.5956833,12,detect,17.05779457092285,0,0,0
1784450693.6088707,10,track,8.568848609924316,0,0,0
1784450693.616738,12,track,9.372954368591309,0,0,0
1784450693.6579254,10,pose,31.184276580810547,0,0,0
1784450693.6586406,10,e2e,1165.0034390004294,0,0,0
1784450693.6786082,12,pose,27.823760986328125,0,0,0
1784450693.706771,11,detect,18.777549743652344,0,0,0
1784450693.7371664,11,track,9.58580207824707,0,0,0
1784450693.7845688,11,pose,28.423643112182617,0,0,0
1784450700.5493855,24,e2e,8306.303289000425,0,0,0
1784450706.628323,27,detect,18.699357986450195,0,0,0
1784450706.7373052,27,track,10.380569458007812,0,0,0
1784450706.8979,27,pose,26.889490127563477,0,0,0
1784450706.9192865,27,e2e,10929.159229001016,0,0,0
1784450706.990308,20,e2e,11271.404928000265,0,0,0
1784450707.5818255,24,detect,17.46187400817871,0,0,0
1784450707.6448035,28,detect,16.88098907470703,0,0,0
1784450707.75052,24,track,9.966002464294434,0,0,0
1784450707.8335795,11,e2e,11800.779387000148,0,0,0
1784450707.8704793,12,e2e,12026.793313998496,0,0,0
1784450708.025747,28,track,9.117522239685059,0,0,0
1784450708.1295068,24,pose,64.04727172851562,0,0,0
1784450708.189266,24,e2e,11988.783382999827,0,0,0
1784450708.4370582,31,detect,19.7486515045166,0,0,0
1784450708.4987962,28,pose,29.98055648803711,0,0,0
1784450708.5105891,28,e2e,12477.430488001119,0,0,0
1784450708.7684188,21,detect,50.8213996887207,0,0,0
1784450708.8181312,31,track,9.713998794555664,0,0,0
1784450708.87686,15,detect,21.685882568359375,0,0,0
1784450708.9195592,21,track,9.809318542480469,0,0,0
1784450708.9373822,31,pose,30.496355056762695,0,0,0
1784450708.9383936,31,e2e,12474.580176000018,0,0,0
1784450709.023583,40,detect,18.004596710205078,0,0,0
1784450709.0452454,21,pose,27.923410415649414,0,0,0
1784450709.0551674,21,e2e,12607.084155999473,0,0,0
1784450709.1224866,15,track,10.815384864807129,0,0,0
1784450709.1720593,39,detect,16.056228637695312,0,0,0
1784450709.2196128,15,pose,28.435766220092773,0,0,0
1784450709.22106,40,track,10.019998550415039,0,0,0
1784450709.221598,15,e2e,12924.252442999205,0,0,0
1784450709.4549034,39,track,9.940537452697754,0,0,0
1784450709.4894218,40,pose,28.42636489868164,0,0,0
1784450709.4910789,40,e2e,11169.144023999252,0,0,0
1784450709.56673,26,detect,26.13944435119629,0,0,0
1784450709.5675254,31,detect,16.9197940826416,0,0,0
1784450709.6643941,39,pose,31.735435485839844,0,0,0
1784450709.6650517,39,e2e,3365.372833000947,0,0,0
1784450709.82958,26,track,9.931750297546387,0,0,0
1784450709.886902,45,detect,18.445873260498047,0,0,0
1784450709.925162,31,track,8.832228660583496,0,0,0
1784450709.9525328,40,detect,21.446151733398438,0,0,0
1784450710.0613332,26,pose,28.114852905273438,0,0,0
1784450710.0646048,26,e2e,2930.4223190010816,0,0,0
1784450710.24191,31,pose,33.295345306396484,0,0,0
1784450710.2462132,31,e2e,3042.540119999103,0,0,0
1784450710.3298123,27,detect,19.658498764038086,0,0,0
1784450710.3473628,40,track,13.533479690551758,0,0,0
1784450710.3725696,45,track,9.776141166687012,0,0,0
1784450710.4199927,27,track,9.747700691223145,0,0,0
1784450710.720414,45,pose,29.793607711791992,0,0,0
1784450710.7351375,45,e2e,3429.211260001466,0,0,0
1784450710.7535853,32,detect,18.160877227783203,0,0,0
1784450710.7634406,40,pose,31.419252395629883,0,0,0
1784450710.7661285,40,e2e,3689.6477509999386,0,0,0
1784450710.7894087,27,pose,26.941129684448242,0,0,0
1784450710.8066342,27,e2e,3551.315730999704,0,0,0
1784450710.8688698,32,track,10.018935203552246,0,0,0
1784450710.9035418,41,detect,18.427318572998047,0,0,0
1784450710.9397147,28,detect,16.363378524780273,0,0,0
1784450710.9432933,46,detect,20.06271743774414,0,0,0
1784450710.9526508,41,track,9.272343635559082,0,0,0
1784450710.994187,32,pose,29.05194664001465,0,0,0
1784450711.0039861,32,e2e,3632.272804999957,0,0,0
1784450711.0288606,46,track,9.711360931396484,0,0,0
1784450711.0392108,28,track,10.931410789489746,0,0,0
1784450711.0472677,41,pose,29.727041244506836,0,0,0
1784450711.0499926,41,e2e,3858.013053000832,0,0,0
1784450711.1022334,46,pose,31.17344093322754,0,0,0
1784450711.105081,46,e2e,3569.4005179993837,0,0,0
1784450711.1880467,33,detect,23.239151000976562,0,0,0
1784450711.2313325,47,detect,18.912691116333008,0,0,0
1784450711.264252,28,pose,57.198978424072266,0,0,0
1784450711.2649193,28,e2e,3777.8909570006363,0,0,0
1784450711.4384308,33,track,8.973406791687012,0,0,0
1784450711.4403915,47,track,9.161128997802734,0,0,0
1784450711.4414778,42,detect,18.551382064819336,0,0,0
1784450711.462311,31,detect,18.717029571533203,0,0,0
1784450711.4787865,-1,violence,96.44346237182617,0,0,0
1784450711.4844732,42,track,9.137866973876953,0,0,0
1784450711.5011365,33,pose,28.04572868347168,0,0,0
1784450711.514548,33,e2e,4023.9964880001935,0,0,0
1784450711.5291097,31,track,9.940094947814941,0,0,0
1784450711.5384388,47,pose,30.328575134277344,0,0,0
1784450711.544748,47,e2e,3878.777016998356,0,0,0
1784450711.5543783,42,pose,30.587810516357422,0,0,0
1784450711.5577557,42,e2e,4115.054521000275,0,0,0
1784450711.5900135,31,pose,27.289525985717773,0,0,0
1784450711.590786,31,e2e,3573.6164480003936,0,0,0
1784450711.6091251,52,detect,16.435829162597656,0,0,0
1784450711.6128595,39,detect,30.495405197143555,0,0,0
1784450711.650716,52,track,11.93661880493164,0,0,0
1784450711.6517262,39,track,11.337635040283203,0,0,0
1784450711.654949,48,detect,18.686967849731445,0,0,0
1784450711.6823828,48,track,9.02324390411377,0,0,0
1784450711.7148986,52,pose,29.02014923095703,0,0,0
1784450711.7156734,52,e2e,3504.4211029999133,0,0,0
1784450711.7163126,39,pose,29.1468448638916,0,0,0
1784450711.7169898,39,e2e,3460.6697039998835,0,0,0
1784450711.7659836,48,pose,28.70176124572754,0,0,0
1784450711.7670207,48,e2e,3553.399043999889,0,0,0
1784450711.9286165,-1,falldown,97.89258193969727,0,0,0
1784450712.0389376,-1,violence,65.34847640991211,0,0,0
1784450712.0464966,49,detect,18.05644989013672,0,0,0
1784450712.0748968,36,detect,18.76199722290039,0,0,0
1784450712.0991597,36,track,11.949775695800781,0,0,0
1784450712.0997796,49,track,9.379530906677246,0,0,0
1784450712.118673,53,detect,35.36833572387695,0,0,0
1784450712.1508603,40,detect,20.97017478942871,0,0,0
1784450712.1831398,36,pose,31.326492309570312,0,0,0
1784450712.1917863,36,e2e,3630.418259999715,0,0,0
1784450712.1976266,53,track,10.145210266113281,0,0,0
1784450712.206865,49,pose,31.18769645690918,0,0,0
